Indicator,Vehicle Actvity Number,Company Code,Fiscal Year,Reverse Date,Vehicle Code,Job Code,Target Alokasi Biaya,Location Code,Vehicle Date,Vehicle Time,HM/KM,Unit,UoM,Reference,Remarks,Plant,Cancelled/Reversed,Operator,Helper 1,Helper 2,Measurement document,Document Number,Nomor SPBS,Tgl Angkut,Antar Kebun,Destination Plant,Created by,Created on,Changed by,Changed on
,0100282077,PALM,2026,6/3/2026,2000021319,,CC,5E03BT15KS,6/3/2026,05.15.00,48.00,0,,,ANTAR JEMPUT ANAK SEKOLAH,5E03,,13005011,0,0,10209791,2321230373,,6/3/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282078,PALM,2026,6/1/2026,2000023103,14802,FF,421,6/1/2026,15.25.58,29.00,"5,810",KG,ANGKUT TBS,ANGKUT TBS AFD IV,5E03,,13004172,0,0,10209771,2321230353,PALM5F04126060100000068,6/1/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282079,PALM,2026,6/1/2026,2000023103,14802,FF,421,6/1/2026,18.30.50,25.00,"4,110",KG,ANGKUT TBS,ANGKUT TBS AFD IV,5E03,,13004172,0,0,10209772,2321230354,PALM5F04126060100000098,6/1/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282080,PALM,2026,6/2/2026,2000023103,14505,FF,408,6/2/2026,06.00.00,12.00,"1,814",KG,ANGKUT PUPUK,ANGKUT PUPUK AFD IV,5E03,,13004172,0,0,10209783,2321230365,,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282081,PALM,2026,6/2/2026,2000023103,14802,FF,418,6/2/2026,12.45.24,32.00,"5,370",KG,ANGKUT TBS,ANGKUT TBS AFD IV,5E03,,13004172,0,0,10209784,2321230366,PALM5F04126060200000049,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282082,PALM,2026,6/2/2026,2000023103,13207,FF,420B,6/2/2026,12.56.36,3.00,"3,470",KG,ANGKUT TANKOS,ANGKUT TANKOS AFD IV,5E03,,13004172,0,0,10209785,2321230367,PALM5F04126050200000051,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282083,PALM,2026,6/2/2026,2000023103,14802,FF,418,6/2/2026,17.09.54,32.00,"5,100",KG,ANGKUT TBS,ANGKUT TBS AFD IV,5E03,,13004172,0,0,10209786,2321230368,PALM5F04126060200000110,6/2/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282084,PALM,2026,6/3/2026,2000023103,14802,FF,318,6/3/2026,11.14.26,30.00,"4,820",KG,ANGKUT TBS,ANGKUT TBS AFD III,5E03,,13004172,0,0,10209792,2321230374,PALM5F04126060300000035,6/3/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282085,PALM,2026,6/3/2026,2000023103,13207,FF,420B,6/3/2026,11.31.15,3.00,"3,200",KG,ANGKUT TANKOS,ANGKUT TANKOS AFD IV,5E03,,13004172,0,0,10209793,2321230375,PALM5F04126050300000038,6/3/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282086,PALM,2026,6/3/2026,2000023103,14802,FF,409,6/3/2026,17.51.23,32.00,"2,850",KG,ANGKUT TBS,ANGKUT TBS AFD IV,5E03,,13004172,0,0,10209794,2321231476,PALM5F04126060300000120,6/3/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282087,PALM,2026,6/3/2026,2000023103,13207,FF,420B,6/3/2026,18.15.14,3.00,"4,530",KG,ANGKUT TANKOS,ANGKUT TANKOS AFD IV,5E03,,13004172,0,0,10209795,2321231477,PALM5F04126050300000122,6/3/2026,,,MK031503,6/3/2026,MK031503,6/3/2026
,0100282088,PALM,2026,6/3/2026,2000014509,,CC,5E15BT15KS,6/3/2026,07.30.00,164.00,0,,,Melayani Dinas Pelaihari,5E15,,0,0,0,10208937,2321238781,,,,,MK151504,6/4/2026,MK151504,6/4/2026
,0100282089,PALM,2026,6/3/2026,2000014795,14106,FF,224,6/3/2026,08.00.00,4.00,700,M,,,5E15,,0,0,0,10209009,2321239005,,,,,MK151504,6/4/2026,MK151504,6/4/2026
,0100282090,PALM,2026,6/3/2026,2000021419,14506,FF,310,6/3/2026,11.00.00,50.00,0,KG,,Angkut Tankos Afdeling II,5E15,,0,0,0,10209010,2321239006,0000000000000000000000000000000000000002,6/3/2026,,,MK151504,6/4/2026,MK151504,6/4/2026
,0100282091,PALM,2026,6/3/2026,2000021468,,CC,5F22STAS14,6/3/2026,08.00.00,40.00,"60,080",KG,,ANGKUT TANKOS,5F22,,13003957,0,0,10209470,2321238700,,,,,MP221503,6/4/2026,MP221503,6/4/2026
,0100282092,PALM,2026,6/3/2026,2000022748,,CC,5F22STAS19,6/3/2026,08.00.00,26.00,0,KM,,LABORATORIUM,5F22,,0,0,0,10209469,2321238699,,,,,MP221503,6/4/2026,MP221503,6/4/2026
,0100282096,PALM,2026,6/3/2026,2000021344,14802,FF,109,6/3/2026,18.17.00,55.00,"4,990",KG,,ANGKUT TBS,5E08,,13006697,0,0,10209363,2321239799,0000000000000000000000000000000000000141,6/3/2026,,,MK081502,6/4/2026,MK081502,6/4/2026
,0100282097,PALM,2026,6/3/2026,2000021346,14802,FF,509,6/3/2026,20.21.00,45.00,"7,060",KG,,ANGKUT TBS,5E08,,13001085,0,0,10209364,2321239800,0000000000000000000000000000000000000184,6/3/2026,,,MK081502,6/4/2026,MK081502,6/4/2026
,0100282098,PALM,2026,6/3/2026,2000021347,14802,FF,414,6/3/2026,15.37.00,50.00,"4,120",KG,,ANGKUT TBS,5E08,,13006220,0,0,10209365,2321239801,0000000000000000000000000000000000000121,6/3/2026,,,MK081502,6/4/2026,MK081502,6/4/2026
,0100282099,PALM,2026,6/3/2026,2000021420,14506,FF,310,6/3/2026,08.00.00,47.00,0,KG,,Angkut Tankos Afdeling II,5E15,,0,0,0,10209853,2321218348,0000000000000000000000000000000000000002,6/3/2026,,,MK151504,6/4/2026,MK151504,6/4/2026
,0100282118,PALM,2026,6/3/2026,2000015059,14803,FF,309,6/3/2026,07.15.00,8.00,"11,405",KG,Quick Afd III Aly Lalu,Langsir Buah Afd III,5E17,,13007668,13007669,0,10209367,2321242049,,6/3/2026,,,MK171504,6/4/2026,MK171504,6/4/2026
,0100282119,PALM,2026,6/4/2026,2000022909,,CC,5E08BT15KS,6/4/2026,07.00.00,33.00,0,,,Ke Afd.III,5E08,,13006911,0,0,10209366,2321242048,,6/4/2026,,,MK081502,6/4/2026,MK081502,6/4/2026
,0100282120,PALM,2026,6/3/2026,2000022827,14803,FF,310,6/3/2026,07.15.00,8.00,"11,405",KG,Quick 007 Afd III Jimmy,Langsir Buah Afd III,5E17,,13007239,0,0,10209368,2321242050,,6/3/2026,,,MK171504,6/4/2026,MK171504,6/4/2026
