 ,,,,,,,,,,,,,,,
REKAPITULIASI BA EQUIPMENT,,,,,,,,,,,,,,,
PER 30 DES 2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MENURUT BA EQUIPMENT,,,,,,,,,,168,,,,,
NO,UNIT/KERJA,NAMA EQUIPMENT,NOMOR EQUIPMENT,REVISI COST CENTER,Ket CC,Ket VHC,STATUS KENDARAAN,KEPEMILIKAN,Total,,,NO,UNIT,CODE,VHC
14,Danau Salak,Mobil Pool DA 8218 PZ,2000014418,5E11CAR001,Mati,Tidak Ada BA,Baik,Sewa,,,5E11,,,,
,Danau Salak,Mobil Pool DA 8636 PZ,2000014419,5E11CAR002,,Aktif,Baik,Inventaris,,CAR,5E11,,,,
,,Mobil Pool DA 8647 CT,2000014420,5E11CAR003,Mati,Tidak Ada BA,Perbaikan,Inventaris,,,5E11,,,,
,,Vibrator Roller 1,2000014808,5E11COM001,Mati,Aktif,Baik,Inventaris,,COM,5E11,,,,
,,Truk DA 8464 JF,2000021441,5E11DTR003,,Aktif,Baik,Inventaris,,DTR,5E11,,,,
,,Truk DA 8131 CV,2000021442,5E11DTR004,,Aktif,Baik,Inventaris,,DTR,5E11,,,,
,,Tractor Ford/TRB1,2000015138,5E11TRA001,,Aktif,Perbaikan,Inventaris,,TRA,5E11,,,,
,,Mobil Pool BK 8772 JF,2000022835,5E11CAR004,,Aktif,,,,CAR,5E11,,,,
16,Kumai,Mobil Manager KB 8847 HD,2000014493,5E12CAR001,Mati,Tidak Ada BA,Baik,Sewa,,,5E12,,,,
,,Mobil Pool DA 8502 WB,2000023245,5E11CAR005,,Aktif,Baik,Inventaris,,,,,,,
,Kumai,Honda CRF 150L DA 2881 NU,2000022569,5E12MOT001,,Aktif,,,,MOT,5E12,,,,
,,Mobil Manager DA 8513 WB,2000014494,5E12CAR002,,Aktif,,,,CAR,5E12,,,,
,,Mobil Manager DA 8503 WB,2000014495,5E12CAR003,,Aktif,,,,,,,,,
18,Batu Licin,Mobil Manajer DA 8425 HC,2000014498,5E13CAR001,Mati,Tidak Ada BA,Baik,Sewa,,,5E13,,,,
,,Dump Truck DA 8625 CK,2000021430,5E13DTR002,Mati,Tidak Ada BA,Baik,Sewa,,,5E13,,,,
,Batu Licin,Honda CRF 150L DA 3283 AQ,2000022572,5E13MOT001,,Aktif,Baik,Sewa,,MOT,5E13,,,,
,,Honda CRF 150L DA 3284 AQ,2000022573,5E13MOT002,,Aktif,Baik,Sewa,,MOT,5E13,,,,
,,MOWER,2000015150,5E13TRA001,,Aktif,Baik,Inventaris,,TRA,5E13,,,,
,,Mobil Manager BK 8776 JF,2000014499,5E13CAR002,,Aktif,Baik,Sewa,,CAR,5E13,,,,
,,Dump Truck DA 8628 CK,2000021432,5E13DTR004,,Aktif,,,,DTR,5E13,,,,
13,Pamukan,Mobil Manager DA 8015 BT,2000014503,5E14CAR001,Mati,Tidak Ada BA,Baik,Sewa,,,5E14,,,,
,Pamukan,Vibrator Roller 1,2000014811,5E14COM001,Mati,Aktif,Rusak Berat,Inventaris,,COM,5E14,,,,
,,Truck DA 8575 PZ,2000014693,5E14DTR001,,Aktif,Baik,Sewa,,DTR,5E14,,,,
,,Truck DA 8626 CK,2000021409,5E14DTR002,,Aktif,Baik,Sewa,,DTR,5E14,,,,
,,Truck DA 8627 CK,2000021410,5E14DTR003,,Aktif,Baik,Sewa,,DTR,5E14,,,,
,,Truck DA 8129 CV,2000021413,5E14DTR006,,Aktif,Baik,Sewa,,DTR,5E14,,,,
,,Truck DA 8381 CA,2000021414,5E14DTR007,,Aktif,Baik,Sewa,,DTR,5E14,,,,
,,Road Grader 1,2000014794,5E14GRA001,,Aktif,Baik,Inventaris,,GRA,5E14,,,,
,,Quick Truck 2,2000021547,5E14QUT002,,Aktif,Baik,Sewa,,QUT,5E14,,,,
,,Quick Truck 3,2000021548,5E14QUT003,,Aktif,Baik,Sewa,,QUT,5E14,,,,
,,Quick Truck 4,2000021549,5E14QUT004,,Aktif,Baik,Sewa,,QUT,5E14,,,,
,,Quick Truck 5,2000021550,5E14QUT005,,Aktif,Baik,Sewa,,QUT,5E14,,,,
,,Strada Triton KB 8107 DM,2000014504,5E14CAR002,BK 8774 JF berubah KB 8107 DM,Aktif,Baik,Sewa,,CAR,5E14,,,,
,,Truck KB 8720 WA,2000021416,5E14DTR009,,Aktif,Baik,Sewa,,,,,,,
,,Quick Truck QT-16E 1,2000021551,5E14QUT006,,,,,,,,,,,
,,Quick Truck QT-16E 2,2000023496,5E14QUT007,,,,,,,,,,,
,,Quick Truck QT-16E 3,2000023497,5E14QUT008,,,,,,,,,,,
,,Quick Truck QT-16E 4,2000023498,5E14QUT009,,,,,,,,,,,
12,Pelaihari,Mobil Dinas Manager KB 8326 WA,2000014508,5E15CAR001,Mati,Mati,Baik,Sewa,,CAR,5E15,,,,
,,Compactor BAJ,2000014812,5E15COM001,,Aktif,Baik,Inventaris,,COM,5E15,,,,
,,Truck DA 8756 CY,2000021419,5E15DTR002,,Aktif,Baik,Sewa,,DTR,5E15,,,,
,,Truck DA 8754 CY,2000021420,5E15DTR003,,Aktif,Baik,Sewa,,DTR,5E15,,,,
,,Road Grader 1,2000014795,5E15GRA001,,Aktif,Baik,Inventaris,,GRA,5E15,,,,
,,TRB MF 5355,2000015163,5E15TRB001,,Aktif,Baik,Inventaris,,TRB,5E15,,,,
,,TRB FORD 046,2000015164,5E15TRB002,,Aktif,General Overhoul,Inventaris,,TRB,5E15,,,,
,,Mobil Dinas Manager KB 8109 DM,2000014509,5E15CAR002,Ganti dari BK 8771 JF ke KB 8109 DM,Aktif,Baik,Sewa,,CAR,5E15,,,,
8,Tabara,Mobil Manajer DA 8261 ME,2000014513,5E16CAR001,Mati,Tidak Ada BA,Baik,Sewa,,,5E16,,,,
,Tabara,Alat Berat Vibro SAKAI,2000014813,5E16COM001,Mati,Aktif,Rusak,Inventaris,,COM,5E16,,,,
